Eiendom,Spotprisår,Kostnad for vannbåren varme (kr),Kilde vannbåren varme,Kilde andre kostnader,Beregningstid (år),Diskonteringsrente (%),Nåverdi bergvarme (kr),Nåverdi luft-luft-varmepumpe (kr),Differanse (kr),Forklaring
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,40,4,122501,-43019,165520,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,50,4,146125,-29559,175684,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,60,4,177045,-8028,185073,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,30,5,15222,-70888,86110,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,40,5,64091,-70187,134278,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,50,5,78990,-61066,140056,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,60,5,97409,-48240,145649,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,30,6,-18223,-91768,73545,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,40,6,17161,-92207,109368,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,50,6,26583,-85996,112579,Bergvarme er lønnsom
Kleivveien 44A,2024,91125,Sweco,Asplan Viak,60,6,37616,-78313,115929,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,30,4,44750,25194,19556,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,40,4,136417,69698,66719,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,50,4,187137,108259,78878,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,60,4,228973,137095,91878,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,30,5,-15843,-17408,1565,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,40,5,50277,14148,36129,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,50,5,83226,39646,43580,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,60,5,108147,56822,51325,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,30,6,-66911,-53114,-13797,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,40,6,-19035,-30663,11628,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,50,6,2467,-13721,16188,Bergvarme er lønnsom
Kleivveien 44A,2023,306359,Asplan Viak,Sweco,60,6,17396,-3431,20827,Bergvarme er lønnsom
Kleivveien 44A,2024,306359,Asplan Viak,Sweco,30,4,-105730,-75577,-30153,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,306359,Asplan Viak,Sweco,40,4,-37980,-47079,9099,Bergvarme er lønnsom
Kleivveien 44A,2024,306359,Asplan Viak,Sweco,50,4,-3417,-19330,15913,Bergvarme er lønnsom
Kleivveien 44A,2024,306359,Asplan Viak,Sweco,60,4,27502,2200,25302,Bergvarme er lønnsom
Kleivveien 44A,2024,306359,Asplan Viak,Sweco,30,5,-149433,-106876,-42557,Luft-vann-varmepumpe er lønnsom
Kleivveien 44A,2024,306359,Asplan Viak,Sweco,40,5,-100564,-86864,-13700,Luft-vann-varmepumpe er lønnsom
